Отметка времени,"How to fix ""Value too large for defined data type"" error from GCC (C Compiler)?",How to allocate IPv6 addresses in the organization without site-local addresses?,What does ARM instruction FJCVTZS (Floating-point JavaScript Convert to Signed fixed-point) do?,How to get a visualization of Control Flow Graph for LLVM IR?,What does $ (dollar sign) operator do in Haskell?,How to exit VIM?,How to enable log rotation in docker compose?,What mechanism used to avoid transmission collision in ethernet network with bus topology?,"How to use ""useEffect"" function in React?",How to add a callback at object destruction in LLVM?,How many years of experience in programming do you have?,"What is your professional level? (if your company have another scale, choose the closest to you)"
2023/12/07 01:23:37 PM GMT+3,"Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/07 01:28:53 PM GMT+3,"Search engines (e.g., Google, Yandex)",StackOverflow,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/07 01:53:01 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/07 02:05:20 PM GMT+3,StackOverflow,StackOverflow,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",StackOverflow,StackOverflow,StackOverflow,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,2-5 years,Middle
2023/12/07 02:05:49 PM GMT+3,StackOverflow,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)",StackOverflow,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",StackOverflow,StackOverflow,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,2-5 years,Junior
2023/12/07 02:07:06 PM GMT+3,StackOverflow,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)",StackOverflow,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",StackOverflow,StackOverflow,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,2-5 years,Junior
2023/12/07 02:19:21 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",15-20 year,Senior
2023/12/07 02:20:33 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",5-8 years,Middle
2023/12/07 02:38:13 PM GMT+3,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Ask a colleague (e.g., verbally, write in Slack)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,9-10 years,Middle
2023/12/07 03:04:35 PM GMT+3,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,1-2 years,Junior
2023/12/07 03:06:50 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",5-8 years,Senior
2023/12/07 03:07:25 PM GMT+3,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",2-5 years,Middle
2023/12/07 03:08:37 PM GMT+3,"Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,5-8 years,Junior
2023/12/07 04:19:13 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",Less than 1 year,Middle
2023/12/07 04:20:32 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",15-20 year,Senior
2023/12/07 04:21:17 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",1-2 years,Junior
2023/12/07 04:53:43 PM GMT+3,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",2-5 years,Junior
2023/12/07 05:19:44 PM GMT+3,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,1-2 years,Junior
2023/12/07 05:30:30 PM GMT+3,StackOverflow,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",5-8 years,Intern
2023/12/07 06:16:38 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",15-20 year,Senior
2023/12/07 06:18:15 PM GMT+3,StackOverflow,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,StackOverflow,2-5 years,Intern
2023/12/07 06:29:25 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",5-8 years,Middle
2023/12/07 06:34:03 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",15-20 year,Senior
2023/12/07 06:39:51 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",15-20 year,Senior
2023/12/07 07:01:36 PM GMT+3,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",5-8 years,Middle
2023/12/07 07:26:00 PM GMT+3,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Ask a colleague (e.g., verbally, write in Slack)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,2-5 years,Middle
2023/12/07 07:26:55 PM GMT+3,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",2-5 years,Junior
2023/12/07 07:28:05 PM GMT+3,StackOverflow,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,2-5 years,Intern
2023/12/07 07:29:40 PM GMT+3,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,More than 21,Senior
2023/12/07 07:32:28 PM GMT+3,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,Less than 1 year,Middle
2023/12/07 07:34:26 PM GMT+3,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Ask a colleague (e.g., verbally, write in Slack)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,9-10 years,Middle
2023/12/07 07:38:33 PM GMT+3,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Ask a colleague (e.g., verbally, write in Slack)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,StackOverflow,"Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,2-5 years,Middle
2023/12/07 07:38:42 PM GMT+3,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,StackOverflow,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/07 07:41:58 PM GMT+3,StackOverflow,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",StackOverflow,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",5-8 years,Intern
2023/12/07 07:49:12 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",15-20 year,Senior
2023/12/07 07:52:19 PM GMT+3,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",5-8 years,Middle
2023/12/07 08:00:12 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/07 08:09:22 PM GMT+3,"Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,5-8 years,Junior
2023/12/07 08:09:42 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",15-20 year,Senior
2023/12/07 08:20:20 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",11-15 years,Senior
2023/12/07 08:31:40 PM GMT+3,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,More than 21,Senior
2023/12/07 09:23:08 PM GMT+3,StackOverflow,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,2-5 years,Intern
2023/12/07 09:43:32 PM GMT+3,StackOverflow,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,StackOverflow,"Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,2-5 years,Middle
2023/12/07 09:54:05 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",5-8 years,Senior
2023/12/07 10:06:18 PM GMT+3,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",2-5 years,Junior
2023/12/07 10:09:00 PM GMT+3,StackOverflow,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,11-15 years,Intern
2023/12/07 10:09:19 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",9-10 years,Senior
2023/12/07 10:11:30 PM GMT+3,StackOverflow,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",StackOverflow,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",5-8 years,Intern
2023/12/07 10:34:57 PM GMT+3,StackOverflow,StackOverflow,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",StackOverflow,StackOverflow,StackOverflow,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,2-5 years,Middle
